rank,entry,origin,package,n_lines,stdin,want_rc,heap_kb,stack_kb
164,trace-all-functions,snoflake_suite__trace-all-functions,snoflake_suite,14,0,0,131072,4096
165,trace-function-calls,snoflake_suite__trace-function-calls,snoflake_suite,18,0,0,131072,4096
166,trace-keyword-fnclevel,snoflake_suite__trace-keyword-fnclevel,snoflake_suite,17,0,0,131072,4096
167,trace-label-flow,snoflake_suite__trace-label-flow,snoflake_suite,15,0,0,131072,4096
168,trace-procedure,snoflake_suite__trace-procedure,snoflake_suite,15,0,0,131072,4096
169,trace-value-watch,snoflake_suite__trace-value-watch,snoflake_suite,18,0,0,131072,4096
170,twelve-days,snoflake_suite__twelve-days,snoflake_suite,46,0,0,131072,4096
171,unary-plus-minus-conversion,snoflake_suite__unary-plus-minus-conversion,snoflake_suite,20,0,0,131072,4096
172,unevaluated-common-characters,snoflake_suite__unevaluated-common-characters,snoflake_suite,17,0,0,131072,4096
173,unevaluated-common-words,snoflake_suite__unevaluated-common-words,snoflake_suite,19,0,0,131072,4096
174,unevaluated-pair-backreference,snoflake_suite__unevaluated-pair-backreference,snoflake_suite,14,0,0,131072,4096
175,unload-builtin,snoflake_suite__unload-builtin,snoflake_suite,13,0,0,131072,4096
176,value-trace-during-match,snoflake_suite__value-trace-during-match,snoflake_suite,18,0,0,131072,4096
177,wang-theorem-prover,snoflake_suite__wang-theorem-prover,snoflake_suite,154,0,0,131072,4096
178,word-count-table-convert,snoflake_suite__word-count-table-convert,snoflake_suite,60,0,0,131072,4096
179,word-ending-analysis,snoflake_suite__word-ending-analysis,snoflake_suite,164,0,0,131072,4096
180,words-of-length,snoflake_suite__words-of-length,snoflake_suite,24,0,0,131072,4096
