name	sbl	csnobol4	snoflake	sbl_note	csnobol4_note	snoflake_note
gimpel-random-poem.sno	ERR	ERR	NO_ORACLE	rc=1 gimpel-random-poem.sno(50,10) : ERROR 285 -- include file cannot be opened	rc=1 gimpel-random-poem.sno:50: Error 30 in statement 0 at level 0	
gimpel-random-story.sno	ERR	ERR	NO_ORACLE	rc=1 gimpel-random-story.sno(104,10) : ERROR 285 -- include file cannot be opened	rc=1 gimpel-random-story.sno:104: Error 30 in statement 0 at level 0	
gimpel-random-string-functions.sno	ERR	ERR	NO_ORACLE	rc=1 gimpel-random-string-functions.sno(18,10) : ERROR 285 -- include file cannot be opened	rc=1 gimpel-random-string-functions.sno:18: Error 30 in statement 0 at level 0	
gimpel-read-list-functions.sno	ERR	ERR	NO_ORACLE	rc=1 gimpel-read-list-functions.sno(17,10) : ERROR 285 -- include file cannot be opened	rc=1 gimpel-read-list-functions.sno:17: Error 30 in statement 0 at level 0	
gimpel-real-math-functions.sno	ERR	ERR	NO_ORACLE	rc=1 gimpel-real-math-functions.sno(16,10) : ERROR 285 -- include file cannot be opened	rc=1 gimpel-real-math-functions.sno:16: Error 30 in statement 0 at level 0	
gimpel-rseason-baseball.sno	ERR	ERR	NO_ORACLE	rc=1 gimpel-rseason-baseball.sno(29,10) : ERROR 285 -- include file cannot be opened	rc=1 gimpel-rseason-baseball.sno:29: Error 30 in statement 0 at level 0	
gimpel-snobol-statement-reader.sno	ERR	ERR	NO_ORACLE	rc=1 gimpel-snobol-statement-reader.sno(19,10) : ERROR 285 -- include file cannot be opened	rc=1 gimpel-snobol-statement-reader.sno:19: Error 30 in statement 0 at level 0	
gimpel-sorting-functions.sno	ERR	ERR	NO_ORACLE	rc=1 gimpel-sorting-functions.sno(8,10) : ERROR 285 -- include file cannot be opened	rc=1 gimpel-sorting-functions.sno:8: Error 30 in statement 0 at level 0	
gimpel-stack-field-functions.sno	ERR	ERR	NO_ORACLE	rc=1 gimpel-stack-field-functions.sno(10,10) : ERROR 285 -- include file cannot be opened	rc=1 gimpel-stack-field-functions.sno:10: Error 30 in statement 0 at level 0	
gimpel-state-functions.sno	ERR	ERR	NO_ORACLE	rc=1 gimpel-state-functions.sno(9,10) : ERROR 285 -- include file cannot be opened	rc=1 gimpel-state-functions.sno:9: Error 30 in statement 0 at level 0	
gimpel-stone-game.sno	ERR	ERR	NO_ORACLE	rc=1 gimpel-stone-game.sno(34,10) : ERROR 285 -- include file cannot be opened	rc=1 gimpel-stone-game.sno:34: Error 30 in statement 0 at level 0	
gimpel-test-pattern-predicate.sno	ERR	ERR	NO_ORACLE	rc=1 gimpel-test-pattern-predicate.sno(8,10) : ERROR 285 -- include file cannot be opened	rc=1 gimpel-test-pattern-predicate.sno:8: Error 30 in statement 0 at level 0	
gimpel-tictactoe-functions.sno	ERR	ERR	NO_ORACLE	rc=1 gimpel-tictactoe-functions.sno(13,10) : ERROR 285 -- include file cannot be opened	rc=1 gimpel-tictactoe-functions.sno:13: Error 30 in statement 0 at level 0	
gimpel-tree-pattern.sno	ERR	ERR	NO_ORACLE	rc=1 gimpel-tree-pattern.sno(9,10) : ERROR 285 -- include file cannot be opened	rc=1 gimpel-tree-pattern.sno:9: Error 30 in statement 0 at level 0	
gimpel-tree-reader.sno	ERR	ERR	NO_ORACLE	rc=1 gimpel-tree-reader.sno(14,10) : ERROR 285 -- include file cannot be opened	rc=1 gimpel-tree-reader.sno:14: Error 30 in statement 0 at level 0	
gimpel-visit-structure-functions.sno	ERR	ERR	NO_ORACLE	rc=1 gimpel-visit-structure-functions.sno(17,10) : ERROR 285 -- include file cannot be opened	rc=1 gimpel-visit-structure-functions.sno:17: Error 30 in statement 0 at level 0	
hexadecimal-to-decimal.sno	OK	OK	NO_ORACLE			
hoare-quicksort.sno	OK	OK	NO_ORACLE			
immediate-vs-conditional-assignment.sno	OK	OK	NO_ORACLE			
indirect-integer-and-keyword.sno	OK	OK	NO_ORACLE			
indirect-real-illegal-type.sno	OK	ERR	NO_ORACLE		rc=1 indirect-real-illegal-type.sno:4: Error 1 in statement 1 at level 0	
indirect-reference.sno	OK	OK	NO_ORACLE			
infix-to-polish.sno	OK	OK	NO_ORACLE			
input-echo.sno	OK	OK	NO_ORACLE			
input-factorial-validation.sno	OK	OK	NO_ORACLE			
input-output-streams.sno	OK	OK	NO_ORACLE			
integer-arithmetic.sno	OK	OK	NO_ORACLE			
integer-negative-exponent.sno	OK	OK	NO_ORACLE			
invalid-assembly-labels.sno	OK	OK	NO_ORACLE			
isogram.sno	OK	OK	NO_ORACLE			
kalah-opening-search.sno	OK	OK	NO_ORACLE			
keywords-and-code.sno	OK	OK	NO_ORACLE			
leadering-replacement.sno	OK	OK	NO_ORACLE			
letter-counter.sno	OK	OK	NO_ORACLE			
letter-count.sno	OK	OK	NO_ORACLE			
lexical-comparison.sno	ERR	OK	NO_ORACLE	rc=1 No END statement found in source file(s).		
lgt-alphabetize.sno	OK	OK	NO_ORACLE			
linked-list.sno	OK	OK	NO_ORACLE			
load-failure-graceful.sno	OK	OK	NO_ORACLE			
longest-substring.sno	OK	OK	NO_ORACLE			
lowercase-indirect-and-apply.sno	OK	OK	NO_ORACLE			
math-functions.sno	ERR	OK	NO_ORACLE	rc=231 math-functions.sno(26) : ERROR 314 -- sqrt argument negative		
multiline-backtick-load.sno	ERR	ERR	NO_ORACLE	rc=231 multiline-backtick-load.sno(10,36) : ERROR 230 -- syntax error: illegal character	rc=1 ERRORS DETECTED IN SOURCE PROGRAM	
named-substring-alternation.sno	OK	OK	NO_ORACLE			
name-operator.sno	OK	OK	NO_ORACLE			
n-queens.sno	OK	OK	NO_ORACLE			
nreturn.sno	OK	OK	NO_ORACLE			
numeric-comparison.sno	OK	OK	NO_ORACLE			
numeric-keywords.sno	OK	OK	NO_ORACLE			
numeric-keyword-values.sno	OK	OK	NO_ORACLE			
opsyn-case-fold.sno	OK	OK	NO_ORACLE			
optional-signed-integer.sno	OK	OK	NO_ORACLE			
output-format-ignored.sno	OK	OK	NO_ORACLE			
pattern-assignment-targets.sno	OK	OK	NO_ORACLE			
polish-to-infix.sno	OK	OK	NO_ORACLE			
predicates.sno	OK	OK	NO_ORACLE			
primitive-patterns.sno	OK	OK	NO_ORACLE			
programmer-defined-functions.sno	OK	OK	NO_ORACLE			
punctuation-counter.sno	OK	OK	NO_ORACLE			
real-literal-out-of-range.sno	ERR	OK	NO_ORACLE	rc=231 real-literal-out-of-range.sno(8,6) : ERROR 231 -- syntax error: invalid numeric item		
real-overflow-recoverable.sno	OK	OK	NO_ORACLE			
real-to-integer-coercion.sno	OK	OK	NO_ORACLE			
recursive-balanced-pattern.sno	OK	OK	NO_ORACLE			
recursive-binary-conversion.sno	OK	OK	NO_ORACLE			
recursive-expression-recognizer.sno	OK	OK	NO_ORACLE			
recursive-yz-pattern.sno	OK	OK	NO_ORACLE			
replacement-substitution-cipher.sno	OK	OK	NO_ORACLE			
reverse-input-array.sno	OK	ERR	NO_ORACLE		rc=1 reverse-input-array.sno:21: Error 3 in statement 4 at level 0	
