rank,entry,origin,package,n_lines,stdin,want_rc,heap_kb,stack_kb
125,S02-names/SETTING-6e,roast__S02-names/SETTING-6e,roast,41,0,0,,
126,S02-names/bare-sigil,roast__S02-names/bare-sigil,roast,35,0,0,,
127,S02-names/caller,roast__S02-names/caller,roast,111,0,0,,
128,S02-names/dynamic-scope,roast__S02-names/dynamic-scope,roast,30,0,0,,
129,S02-names/identifier,roast__S02-names/identifier,roast,118,0,0,,
130,S02-names/indirect,roast__S02-names/indirect,roast,45,0,0,,
131,S02-names/is_default,roast__S02-names/is_default,roast,541,0,0,,
132,S02-names/is_dynamic,roast__S02-names/is_dynamic,roast,93,0,0,,
133,S02-names/name,roast__S02-names/name,roast,99,0,0,,
134,S02-names/our,roast__S02-names/our,roast,36,0,0,,
135,S02-names/pseudo-6d,roast__S02-names/pseudo-6d,roast,488,0,0,,
136,S02-names/pseudo-6e,roast__S02-names/pseudo-6e,roast,788,0,0,,
137,S02-names/strict,roast__S02-names/strict,roast,46,0,0,,
138,S02-names/symbolic-deref,roast__S02-names/symbolic-deref,roast,174,0,0,,
139,S02-one-pass-parsing/less-than,roast__S02-one-pass-parsing/less-than,roast,29,0,0,,
140,S02-one-pass-parsing/misc,roast__S02-one-pass-parsing/misc,roast,13,0,0,,
141,S02-packages/package-lookup,roast__S02-packages/package-lookup,roast,30,0,0,,
142,S02-types/WHICH,roast__S02-types/WHICH,roast,509,0,0,,
143,S02-types/anon_block,roast__S02-types/anon_block,roast,153,0,0,,
144,S02-types/array-shapes,roast__S02-types/array-shapes,roast,188,0,0,,
145,S02-types/array,roast__S02-types/array,roast,456,0,0,,
146,S02-types/array_extending,roast__S02-types/array_extending,roast,103,0,0,,
147,S02-types/array_ref,roast__S02-types/array_ref,roast,128,0,0,,
148,S02-types/assigning-refs,roast__S02-types/assigning-refs,roast,152,0,0,,
149,S02-types/autovivification,roast__S02-types/autovivification,roast,127,0,0,,
150,S02-types/bag-iterator,roast__S02-types/bag-iterator,roast,33,0,0,,
151,S02-types/bag,roast__S02-types/bag,roast,637,0,0,,
152,S02-types/baggy,roast__S02-types/baggy,roast,75,0,0,,
153,S02-types/baghash,roast__S02-types/baghash,roast,832,0,0,,
154,S02-types/bool,roast__S02-types/bool,roast,145,0,0,,
155,S02-types/built-in,roast__S02-types/built-in,roast,20,0,0,,
156,S02-types/capture,roast__S02-types/capture,roast,376,0,0,,
157,S02-types/catch_type_cast_mismatch,roast__S02-types/catch_type_cast_mismatch,roast,51,0,0,,
158,S02-types/compact,roast__S02-types/compact,roast,36,0,0,,
159,S02-types/declare,roast__S02-types/declare,roast,430,0,0,,
160,S02-types/fatrat,roast__S02-types/fatrat,roast,11,0,0,,
161,S02-types/flattening,roast__S02-types/flattening,roast,156,0,0,,
162,S02-types/generics,roast__S02-types/generics,roast,55,0,0,,
163,S02-types/hash,roast__S02-types/hash,roast,404,0,0,,
164,S02-types/hash_ref,roast__S02-types/hash_ref,roast,89,0,0,,
165,S02-types/hyperwhatever,roast__S02-types/hyperwhatever,roast,23,0,0,,
166,S02-types/infinity,roast__S02-types/infinity,roast,91,0,0,,
167,S02-types/instants-and-durations,roast__S02-types/instants-and-durations,roast,55,0,0,,
168,S02-types/int-uint,roast__S02-types/int-uint,roast,195,0,0,,
169,S02-types/is-type,roast__S02-types/is-type,roast,127,0,0,,
170,S02-types/isDEPRECATED,roast__S02-types/isDEPRECATED,roast,146,0,0,,
171,S02-types/lazy-lists,roast__S02-types/lazy-lists,roast,180,0,0,,
172,S02-types/list,roast__S02-types/list,roast,202,0,0,,
173,S02-types/lists,roast__S02-types/lists,roast,156,0,0,,
174,S02-types/mix-iterator,roast__S02-types/mix-iterator,roast,33,0,0,,
175,S02-types/mix,roast__S02-types/mix,roast,591,0,0,,
176,S02-types/mixed_multi_dimensional,roast__S02-types/mixed_multi_dimensional,roast,202,0,0,,
177,S02-types/mixhash,roast__S02-types/mixhash,roast,694,0,0,,
178,S02-types/mu,roast__S02-types/mu,roast,60,0,0,,
179,S02-types/multi_dimensional_array,roast__S02-types/multi_dimensional_array,roast,177,0,0,,
180,S02-types/nan,roast__S02-types/nan,roast,69,0,0,,
181,S02-types/native,roast__S02-types/native,roast,484,0,0,,
182,S02-types/nested_arrays,roast__S02-types/nested_arrays,roast,44,0,0,,
183,S02-types/nested_pairs,roast__S02-types/nested_pairs,roast,36,0,0,,
184,S02-types/nil,roast__S02-types/nil,roast,176,0,0,,
185,S02-types/nominalizables,roast__S02-types/nominalizables,roast,93,0,0,,
186,S02-types/num,roast__S02-types/num,roast,948,0,0,,
187,S02-types/pair,roast__S02-types/pair,roast,474,0,0,,
188,S02-types/parsing-bool,roast__S02-types/parsing-bool,roast,14,0,0,,
189,S02-types/quanthash,roast__S02-types/quanthash,roast,93,0,0,,
190,S02-types/range-iterator,roast__S02-types/range-iterator,roast,39,0,0,,
191,S02-types/range,roast__S02-types/range,roast,550,0,0,,
192,S02-types/resolved-in-setting,roast__S02-types/resolved-in-setting,roast,25,0,0,,
193,S02-types/set-iterator,roast__S02-types/set-iterator,roast,29,0,0,,
194,S02-types/set,roast__S02-types/set,roast,634,0,0,,
195,S02-types/sethash,roast__S02-types/sethash,roast,725,0,0,,
196,S02-types/sigils-and-types,roast__S02-types/sigils-and-types,roast,82,0,0,,
197,S02-types/signed-unsigned-native,roast__S02-types/signed-unsigned-native,roast,210,0,0,,
198,S02-types/stash,roast__S02-types/stash,roast,13,0,0,,
199,S02-types/subscripts_and_context,roast__S02-types/subscripts_and_context,roast,73,0,0,,
200,S02-types/subset-6e,roast__S02-types/subset-6e,roast,378,0,0,,
201,S02-types/type,roast__S02-types/type,roast,197,0,0,,
202,S02-types/undefined-types,roast__S02-types/undefined-types,roast,101,0,0,,
203,S02-types/unicode,roast__S02-types/unicode,roast,26,0,0,,
204,S02-types/version-stress,roast__S02-types/version-stress,roast,97,0,0,,
205,S02-types/version,roast__S02-types/version,roast,83,0,0,,
206,S02-types/whatever,roast__S02-types/whatever,roast,519,0,0,,
207,S03-binding/arrays,roast__S03-binding/arrays,roast,234,0,0,,
208,S03-binding/attributes,roast__S03-binding/attributes,roast,93,0,0,,
209,S03-binding/closure,roast__S03-binding/closure,roast,52,0,0,,
210,S03-binding/hashes,roast__S03-binding/hashes,roast,180,0,0,,
211,S03-binding/nested,roast__S03-binding/nested,roast,340,0,0,,
212,S03-binding/ro,roast__S03-binding/ro,roast,48,0,0,,
213,S03-binding/scalars,roast__S03-binding/scalars,roast,165,0,0,,
214,S03-buf/read-int,roast__S03-buf/read-int,roast,289,0,0,,
215,S03-buf/read-num,roast__S03-buf/read-num,roast,64,0,0,,
216,S03-buf/read-write-bits,roast__S03-buf/read-write-bits,roast,96,0,0,,
217,S03-buf/write-int,roast__S03-buf/write-int,roast,248,0,0,,
218,S03-buf/write-num,roast__S03-buf/write-num,roast,114,0,0,,
219,S03-feeds/basic,roast__S03-feeds/basic,roast,141,0,0,,
220,S03-junctions/associative,roast__S03-junctions/associative,roast,35,0,0,,
221,S03-junctions/autothreading,roast__S03-junctions/autothreading,roast,451,0,0,,
222,S03-junctions/boolean-context,roast__S03-junctions/boolean-context,roast,147,0,0,,
223,S03-junctions/misc,roast__S03-junctions/misc,roast,613,0,0,,
224,S03-metaops/cross,roast__S03-metaops/cross,roast,285,0,0,,
225,S03-metaops/eager-hyper,roast__S03-metaops/eager-hyper,roast,41,0,0,,
226,S03-metaops/hyper,roast__S03-metaops/hyper,roast,1173,0,0,,
227,S03-metaops/infix,roast__S03-metaops/infix,roast,324,0,0,,
228,S03-metaops/misc,roast__S03-metaops/misc,roast,76,0,0,,
229,S03-metaops/not,roast__S03-metaops/not,roast,96,0,0,,
230,S03-metaops/reduce,roast__S03-metaops/reduce,roast,773,0,0,,
231,S03-metaops/reverse,roast__S03-metaops/reverse,roast,204,0,0,,
232,S03-metaops/zip,roast__S03-metaops/zip,roast,198,0,0,,
233,S03-operators/adverbial-modifiers,roast__S03-operators/adverbial-modifiers,roast,197,0,0,,
234,S03-operators/also,roast__S03-operators/also,roast,29,0,0,,
235,S03-operators/andthen,roast__S03-operators/andthen,roast,45,0,0,,
236,S03-operators/arith,roast__S03-operators/arith,roast,414,0,0,,
