name	sbl	csnobol4	snoflake	sbl_note	csnobol4_note	snoflake_note
PHYSICAL.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 PHYSICAL.sno:46: Error 32 in statement 0 at level 0	
PLI_STMT_driver.sno	OK	OK	NO_ORACLE			
PLI_STMT.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 PLI_STMT.sno:9: Error 32 in statement 0 at level 0	
POKER_driver.sno	OK	OK	NO_ORACLE			
POKER.sno	OK	OK	NO_ORACLE			
POKEV_driver.sno	OK	OK	NO_ORACLE			
POKEV.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 POKEV.sno:53: Error 32 in statement 0 at level 0	
POL_driver.sno	OK	OK	NO_ORACLE			
POL.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 POL.sno:70: Error 32 in statement 0 at level 0	
PUSH_driver.sno	OK	OK	NO_ORACLE			
PUSH.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 PUSH.sno:17: Error 32 in statement 0 at level 0	
PUT_driver.sno	OK	OK	NO_ORACLE			
PUT.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 PUT.sno:17: Error 32 in statement 0 at level 0	
QUEST_driver.sno	OK	TIMEOUT	NO_ORACLE			
QUEST.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 QUEST.sno:55: Error 32 in statement 0 at level 0	
QUOTE_driver.sno	OK	OK	NO_ORACLE			
QUOTE.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 QUOTE.sno:10: Error 32 in statement 0 at level 0	
RAISE_driver.sno	OK	OK	NO_ORACLE			
RAISE.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 RAISE.sno:24: Error 32 in statement 0 at level 0	
RAMM_driver.sno	OK	ERR	NO_ORACLE		rc=1 RANDOM.sno:5: Error 1 in statement 4 at level 1	
RAMM.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 RAMM.sno:16: Error 32 in statement 0 at level 0	
RANDOM_driver.sno	OK	ERR	NO_ORACLE		rc=1 RANDOM.sno:5: Error 1 in statement 4 at level 1	
RANDOM.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 RANDOM.sno:9: Error 32 in statement 0 at level 0	
RCHAR_driver.sno	OK	ERR	NO_ORACLE		rc=1 RANDOM.sno:5: Error 1 in statement 4 at level 2	
RCHAR.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 RCHAR.sno:33: Error 32 in statement 0 at level 0	
READ_driver.sno	OK	OK	NO_ORACLE			
READL_driver.sno	OK	OK	NO_ORACLE			
READL.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 READL.sno:17: Error 32 in statement 0 at level 0	
READRL_driver.sno	OK	OK	NO_ORACLE			
READRL.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 READRL.sno:13: Error 32 in statement 0 at level 0	
READ.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 READ.sno:16: Error 32 in statement 0 at level 0	
REDEFINE_driver.sno	OK	OK	NO_ORACLE			
REDEFINE.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 REDEFINE.sno:20: Error 32 in statement 0 at level 0	
REORDER_driver.sno	OK	OK	NO_ORACLE			
REORDER.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 REORDER.sno:15: Error 32 in statement 0 at level 0	
REPL_driver.sno	OK	OK	NO_ORACLE			
REPL.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 REPL.sno:18: Error 32 in statement 0 at level 0	
RESOLUTI_driver.sno	OK	OK	NO_ORACLE			
RESOLUTI.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 RESOLUTI.sno:8: Error 32 in statement 0 at level 0	
REVERSE_driver.sno	OK	OK	NO_ORACLE			
REVERSE.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 REVERSE.sno:18: Error 32 in statement 0 at level 0	
REVL_driver.sno	OK	OK	NO_ORACLE			
REVL.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 REVL.sno:14: Error 32 in statement 0 at level 0	
ROMAN_driver.sno	OK	OK	NO_ORACLE			
ROMAN.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 ROMAN.sno:10: Error 32 in statement 0 at level 0	
ROTATER_driver.sno	OK	OK	NO_ORACLE			
ROTATER.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 ROTATER.sno:11: Error 32 in statement 0 at level 0	
RPAD_driver.sno	OK	OK	NO_ORACLE			
RPAD.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 RPAD.sno:13: Error 32 in statement 0 at level 0	
RPERMUTE_driver.sno	OK	ERR	NO_ORACLE		rc=1 RANDOM.sno:5: Error 1 in statement 4 at level 2	
RPERMUTE.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 RPERMUTE.sno:9: Error 32 in statement 0 at level 0	
RPOEM_driver.sno	OK	OK	NO_ORACLE			
RPOEM.sno	OK	OK	NO_ORACLE			
RSEASON_driver.sno	OK	OK	NO_ORACLE			
